Accuracy (bp)	Accuracy (seq)	Adjusted Rand index (bp)	Adjusted Rand index (seq)	Average completeness (bp)	Average completeness (seq)	Average purity (bp)	Average purity (seq)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (seq)	Completeness (bp)	Completeness (seq)	F1 score (bp)	F1 score (seq)	F1 score for sample (bp)	F1 score for sample (seq)	Misclassification rate (bp)	Misclassification rate (seq)	Percentage of binned bp	Percentage of binned sequences	Purity (bp)	Purity (seq)	Rand index (bp)	Rand index (seq)	Sample	Std error of average completeness (bp)	Std error of average completeness (seq)	Std error of average purity (bp)	Std error of average purity (seq)	Tool	UniFrac (bp)	UniFrac (seq)	avg_precision_bp_var	avg_recall_bp_var	binning type	rank
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.9999999999999999	1.0	gsa	0.0	0.0	0.0	0.0	Gold standard			0.0	0.0	genome	NA
0.7081299076280324	0.5604706273645699	0.957048264891263	0.7876096551937753	0.7264945314292941	0.5421127789682422	0.9668141685988527	0.8163814801698952	0.7097356370096791	0.5203352232043917	0.7094276695271415	0.5628819689851577	0.8296008948442192	0.6515608438329165	0.819185118914759	0.6521861307468201	0.030879689693785184	0.22482893450635388	0.4798701127400644	0.4691231742708978	0.9691203103062148	0.7751710654936461	0.9996934504561212	0.9961718302983825	gsa	0.021609042608044405	0.01661502603428316	0.004998089607528967	0.012914924491295976	Maxbin2			0.006769823825444937	0.16623445718731517	genome	NA
0.9520383138455447	0.6203799941795203	0.6796334722950456	0.7619390116875836	0.9563947824769408	0.6341877286877111	0.9843779338016475	0.9687247302592907	0.8498790483601087	0.5722535893889789	0.9573875971402988	0.6091547831871285	0.9701846197411051	0.7665463362987909	0.9663442746175409	0.7454060809668248	0.02452987992520239	0.039830126761469686	0.9805572013841332	0.6417526999381512	0.9754701200747976	0.9601698732385303	0.9983839224446012	0.9977491280239923	gsa	0.0034211075493542136	0.008937741236806764	0.00381843472758096	0.004220490810459564	Metabat2_200			0.005176057537922682	0.004166615763672428	genome	NA
0.9428444385929668	0.6131459693177567	0.6209279146735311	0.7077247106883859	0.956325093456823	0.6332601554384267	0.9775445424506184	0.9546003323891307	0.8427777157912221	0.5647937731948297	0.9560063626176482	0.6048309982122813	0.9668184023982872	0.761414947351426	0.9577592245225047	0.7295631984156877	0.0404814739319036	0.08089243425152681	0.9809264192834606	0.649697892383082	0.9595185260680964	0.9191075657484732	0.9978945545141308	0.9971193912630872	gsa	0.003385686908472376	0.008958541023655037	0.0050408023909852065	0.006359153836012787	Metabat2_500			0.008918800749481723	0.00408078379982364	genome	NA
0.9418608753164992	0.6128133704735376	0.6174194363004636	0.6949492380877108	0.9573862317775168	0.6345134152595421	0.9807211799998264	0.9601595775889133	0.8482150262680238	0.56797016019865	0.9570949816159672	0.606452417577849	0.9689132286877619	0.7640866002024242	0.9580582454859039	0.7290481461223085	0.04097654974571241	0.08623147975946932	0.9813751683706305	0.6526000285456016	0.9590234502542876	0.9137685202405307	0.9978634728995308	0.9969176222594224	gsa	0.0032929329815254266	0.008928346566767935	0.004643644141259955	0.00566550024303706	Metabat2_1000			0.0075040739569089505	0.0038602531130111847	genome	NA
0.4913199367624636	0.43308527002868663	0.24052810550994488	0.2589245190041062	0.9325464512635422	0.6400525082622035	0.696015238699076	0.5337565034765777	0.36894897750937433	0.28212275313763946	0.929819497353377	0.5891988525339874	0.7971040272832025	0.5820916101936926	0.5871463219612912	0.4671306796849055	0.5709679830367584	0.6130386329866271	1.0	1.0	0.4290320169632415	0.38696136701337297	0.9901722235452012	0.992597204769448	gsa	0.005832848100840544	0.010261154744555174	0.022952517642619793	0.021084950947699663	COCACOLA			0.10536361322695456	0.012111873640422573	genome	NA
0.966899383763349	0.627406144763647	0.7892103322013028	0.16325125079719136	0.9653145434280754	0.6451764549121428	0.9865842623307896	0.9824366991723292	0.9494930077131168	0.6374729046832995	0.9632860039104431	0.6169708560262753	0.9758335154827945	0.7788644680794888	0.9611565469141526	0.6201123373588127	0.04096351601858117	0.37671402610275895	0.999045396711823	0.8767305770969123	0.9590364839814188	0.623285973897241	0.9991713591069082	0.975576331393566	gsa	0.0023688303130308553	0.009152132320125213	0.005109722288501321	0.005684325210908027	SolidBin-naive			0.00924267870042494	0.0019976431104884542	genome	NA
0.9378901453192248	0.6151831372385981	0.7784840060188224	0.3546857141864167	0.9408406540735679	0.6698438606439928	0.9290538112235888	0.6269841330625966	0.848250827295162	0.6095851596682496	0.9377228111874876	0.5927742901093419	0.934910083582963	0.6477057470864536	0.9281505490487442	0.6069781729440982	0.08122826079613044	0.37812053458855177	0.999045396711823	0.8767305770969123	0.9187717392038696	0.6218794654114482	0.9991500300221047	0.9951880189634332	gsa	0.005082099759161556	0.010131972153660811	0.005422996572531647	0.011879226778762698	SolidBin-SFS-CL			0.010498974381771331	0.009194674714496899	genome	NA
0.9606696435990766	0.638548206044984	0.7866405658291299	0.23659454470546964	0.9504846112366063	0.6636143794213307	0.9687016839974703	0.9493821387859811	0.9195871808716105	0.6453287450205574	0.9517811149516257	0.6293601629734337	0.9595066886472138	0.7811841274950356	0.9499348213771714	0.6325372184532031	0.05190432307398263	0.3642534873132166	0.999045396711823	0.8767305770969123	0.9480956769260174	0.6357465126867834	0.9991649143267611	0.9839429372531174	gsa	0.004804902720479835	0.009519159268623349	0.007190544978063217	0.009533800005278854	SolidBin-CL			0.018561713412276505	0.008219004094565729	genome	NA
0.9634536523294637	0.6159730594936182	0.793390556409582	0.2704686572729758	0.9622903218791696	0.6472126180929602	0.9809968304760006	0.9741516933690637	0.9360884094412621	0.6333886533226483	0.9602131963507113	0.6087390346318546	0.9715535396990701	0.7777194347105865	0.9632326217326905	0.6545927995178046	0.03372890359789482	0.29208275598451905	0.999045396711823	0.8767305770969123	0.9662710964021052	0.707917244015481	0.9991953344967606	0.9889744205206183	gsa	0.0026919394816458764	0.010102311385336798	0.00583120043765767	0.007258888674434407	SolidBin-coalign			0.012003023186081064	0.0025797675895324174	genome	NA
