,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
maxbin2.001, f__Lachnospiraceae (UID1286),57, 420, 207, 41, 377, 2,0,0,0, 88.41,0.72, 0.00,3052,2948,102,order,0.98,0.95,1.0,0.02,0.05,0.94,0.89,False
maxbin2.002,o__Bacteroidales (UID2654),163, 486, 266,395,89, 2,0,0,0, 12.27,0.50, 0.00,703,569,43,phylum,0.96,0.78,0.96,0.41,0.94,0.83,0.65,False
maxbin2.003, k__Bacteria (UID203), 5449,102,56, 86,11, 5,0,0,0,5.00,0.81,100.00,833,800,158,phylum,0.98,0.94,0.99,0.45,0.98,0.92,0.87,False
maxbin2.004,o__Bacteroidales (UID2654),163, 486, 266,242, 244, 0,0,0,0, 51.26,0.00, 0.00,1670,1606,177,phylum,1.0,0.96,1.0,0.03,0.06,0.97,0.93,False
maxbin2.005,o__Bacteroidales (UID2657),160, 492, 269,307, 181, 4,0,0,0, 37.00,1.12,25.00,2380,2180,248,genus,0.85,0.78,1.0,0.03,0.06,0.95,0.74,False
maxbin2.006,o__Bacteroidales (UID2657),160, 492, 269, 96, 383, 12, 1,0,0, 82.87,3.15,13.33,3425,3320,195,class,0.98,0.95,0.99,0.09,0.2,0.95,0.91,False
maxbin2.007, o__Selenomonadales (UID1024),64, 334, 167, 9,325, 0,0,0,0, 97.60,0.00, 0.00,2022,1938,29,kingdom,1.0,0.96,0.0,0.0,0.0,0.96,0.92,True
maxbin2.008,o__Clostridiales (UID1212),172, 261, 147,216,33, 12, 0,0,0, 10.00,1.26,83.33,1349,1255,271,phylum,0.99,0.92,0.89,0.06,0.12,0.85,0.78,False
maxbin2.009,o__Clostridiales (UID1212),172, 261, 147, 42, 114, 88, 17, 0,0, 92.95, 55.80,80.58,3285,3194,220,family,0.96,0.94,0.19,0.02,0.04,0.86,0.8,True
maxbin2.010,o__Clostridiales (UID1375), 50, 332, 124,307,25, 0,0,0,0,2.64,0.00, 0.00,1168,1098,236,class,0.93,0.88,0.98,0.34,0.82,0.87,0.76,False
maxbin2.011, o__Selenomonadales (UID1024),64, 334, 167, 4,306, 23, 1,0,0, 98.20,8.63, 0.00,2496,2409,117,phylum,0.99,0.96,0.98,0.19,0.44,0.77,0.74,False
maxbin2.012, k__Bacteria (UID203), 5449,104,58, 75,24, 5,0,0,0, 41.09,7.76, 0.00,3129,2862,528,genus,0.77,0.7,1.0,0.15,0.35,0.92,0.65,False
maxbin2.013, k__Bacteria (UID203), 5449,102,56, 94,8,0,0,0,0, 12.66,0.00, 0.00,1771,1581,203,class,0.94,0.84,0.97,0.47,1.37,0.89,0.75,False
maxbin2.014, p__Firmicutes (UID1022),100, 295, 158, 95, 199, 1,0,0,0, 62.78,0.63, 0.00,1564,1403,61,genus,0.88,0.79,1.0,0.04,0.08,0.96,0.76,False
maxbin2.015,o__Clostridiales (UID1212),172, 261, 147,104, 134, 16, 6,1,0, 63.83,6.62,82.50,1484,1442,170,family,0.96,0.93,0.29,0.03,0.06,0.94,0.87,True
maxbin2.016, p__Proteobacteria (UID3887),1487,256, 161, 21, 234, 1,0,0,0, 91.93,0.62, 0.00,2435,2324,80,family,0.92,0.88,0.99,0.04,0.08,0.97,0.85,False
maxbin2.017, k__Bacteria (UID203), 5449,102,56, 68,19, 11, 3,1,0, 51.22, 32.14,84.62,1404,1343,144,family,0.97,0.92,0.2,0.05,0.11,0.87,0.8,True
maxbin2.018, f__Lachnospiraceae (UID1256),33, 333, 171, 3,329, 1,0,0,0, 99.04,0.19,100.00,3170,3069,330,genus,0.84,0.81,0.48,0.14,0.35,0.97,0.79,False
maxbin2.019, p__Actinobacteria (UID2112), 31, 211, 124, 0,193, 18, 0,0,0, 100.00, 4.44, 5.56,1951,1895,57,genus,0.9,0.87,0.94,0.04,0.08,0.95,0.83,False
maxbin2.020,o__Clostridiales (UID1212),172, 263, 149, 14, 249, 0,0,0,0, 94.25,0.00, 0.00,2010,1965,28,family,0.91,0.89,0.08,0.07,0.14,0.95,0.84,True
maxbin2.021,o__Bacteroidales (UID2657),160, 492, 269, 84, 398, 10, 0,0,0, 87.35,2.42,10.00,3905,3784,390,class,0.97,0.94,1.0,0.2,0.46,0.94,0.89,False
maxbin2.022,o__Clostridiales (UID1375), 50, 332, 124, 20, 294, 17, 1,0,0, 98.39,6.76, 0.00,4132,3795,302,family,0.92,0.85,0.6,0.11,0.27,0.74,0.63,False
maxbin2.023,o__Clostridiales (UID1226),155, 278, 158, 89, 137, 42, 10, 0,0, 67.09, 24.11, 6.94,2815,2705,101,genus,0.89,0.86,0.58,0.41,1.41,0.95,0.81,False
maxbin2.024,o__Clostridiales (UID1226),155, 278, 158, 57, 221, 0,0,0,0, 80.06,0.00, 0.00,2446,2391,112,family,0.97,0.95,0.29,0.07,0.16,0.96,0.92,True
maxbin2.025, k__Bacteria (UID203), 5449,103,57, 88,15, 0,0,0,0,8.61,0.00, 0.00,864,844,62,genus,0.8,0.78,0.79,0.31,1.01,0.96,0.75,False
maxbin2.026, k__Bacteria (UID203), 5449,103,58, 4, 56, 10, 17, 16, 0, 94.83, 46.03,28.66,6387,6159,334,class,0.97,0.94,0.96,0.13,0.28,0.92,0.86,False
maxbin2.027,o__Clostridiales (UID1226),155, 278, 158,184,94, 0,0,0,0, 26.12,0.00, 0.00,749,738,27,kingdom,1.0,0.99,0.0,0.0,0.0,0.95,0.93,True
maxbin2.028,o__Clostridiales (UID1226),155, 278, 158,167, 108, 3,0,0,0, 30.38,1.27, 0.00,873,849,18,genus,0.93,0.9,0.69,0.17,0.43,0.97,0.87,False
maxbin2.029,o__Clostridiales (UID1212),172, 261, 147, 2,243, 15, 1,0,0, 99.32,9.41, 5.56,2938,2742,409,order,0.97,0.91,0.95,0.02,0.04,0.75,0.68,False
maxbin2.030, k__Bacteria (UID203), 5449,104,58, 5, 46, 33, 20, 0,0, 91.38, 55.25,27.96,3488,3402,183,genus,0.89,0.87,0.78,0.33,1.03,0.96,0.84,False
maxbin2.031,o__Bacteroidales (UID2621),198, 427, 260, 61, 317, 46, 3,0,0, 90.23, 12.44,10.91,4068,3902,335,genus,0.92,0.88,0.84,0.23,0.62,0.96,0.84,False
maxbin2.032, k__Bacteria (UID203), 5449,103,57, 68,32, 3,0,0,0, 50.88,5.26, 0.00,2677,2605,77,genus,0.89,0.87,0.7,0.05,0.09,0.97,0.84,False
maxbin2.033, f__Lachnospiraceae (UID1255),90, 354, 174, 61, 220, 72, 1,0,0, 89.66, 22.17, 0.00,2244,2205,120,genus,0.95,0.93,0.95,0.46,0.99,0.98,0.91,False
maxbin2.034, k__Bacteria (UID203), 5449,103,57, 25,56, 22, 0,0,0, 64.91,7.66,27.27,2569,2475,399,genus,0.84,0.81,0.49,0.45,1.76,0.82,0.66,False
maxbin2.035, k__Bacteria (UID203), 5449,103,57, 67,19, 17, 0,0,0, 54.39, 24.56, 5.88,1403,1374,52,genus,0.93,0.91,0.75,0.48,1.36,0.96,0.88,False
maxbin2.036, k__Bacteria (UID203), 5449,103,57, 86,12, 5,0,0,0, 28.07,7.02,20.00,1098,1063,133,genus,0.83,0.81,0.8,0.51,1.55,0.95,0.76,False
maxbin2.037,o__Clostridiales (UID1212),172, 263, 149, 8,253, 2,0,0,0, 95.30,0.28, 0.00,2594,2399,148,phylum,0.99,0.91,0.85,0.02,0.05,0.94,0.86,False
maxbin2.038,o__Bacteroidales (UID2621),198, 427, 260, 21, 401, 5,0,0,0, 94.81,0.24, 0.00,3707,3553,211,genus,0.93,0.89,0.41,0.04,0.07,0.96,0.85,True
maxbin2.039, k__Bacteria (UID203), 5449,103,57, 74,20, 9,0,0,0, 38.95,9.94,22.22,3338,3156,782,genus,0.81,0.76,0.72,0.67,3.55,0.91,0.69,False
maxbin2.040, k__Bacteria (UID203), 5449,104,58, 27,47, 23, 7,0,0, 65.20, 20.16, 6.82,4743,4476,1427,order,0.94,0.89,0.95,0.24,0.61,0.9,0.8,False
