@SampleID: 17
@Version: 0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_GENOMEID

2	superkingdom	2	Bacteria	100.0
544448	phylum	2|544448	Bacteria|Tenericutes	0.0
32066	phylum	2|32066	Bacteria|Fusobacteria	0.0
1224	phylum	2|1224	Bacteria|Proteobacteria	2.1672
203691	phylum	2|203691	Bacteria|Spirochaetes	0.0
976	phylum	2|976	Bacteria|Bacteroidetes	4.0248
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	0.0
201174	phylum	2|201174	Bacteria|Actinobacteria	4.3344
1239	phylum	2|1239	Bacteria|Firmicutes	89.4737
57723	phylum	2|57723	Bacteria|Acidobacteria	0.0
1117	phylum	2|1117	Bacteria|Cyanobacteria	0.0
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	3.4056
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	0.0
203490	class	2|32066|203490	Bacteria|Fusobacteria|Fusobacteriia	0.0
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	4.0248
84998	class	2|201174|84998	Bacteria|Actinobacteria|Coriobacteriia	0.9288
1853228	class	2|976|1853228	Bacteria|Bacteroidetes|Chitinophagia	0.0
1737404	class	2|1239|1737404	Bacteria|Firmicutes|Tissierellia	0.0
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	0.0
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.0
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	0.0
204432	class	2|57723|204432	Bacteria|Acidobacteria|Acidobacteriia	0.0
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	4.0248
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	0.3096
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	0.6192
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	83.5913
188787	class	2|1297|188787	Bacteria|Deinococcus-Thermus|Deinococci	0.0
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	0.0
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	1.2384
526524	class	2|1239|526524	Bacteria|Firmicutes|Erysipelotrichia	1.8576
203692	class	2|203691|203692	Bacteria|Spirochaetes|Spirochaetia	0.0
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	0.0
32003	order	2|1224|28216|32003	Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	0.0
84999	order	2|201174|84998|84999	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.9288
136	order	2|203691|203692|136	Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	0.0
85004	order	2|201174|1760|85004	Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	0.0
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	0.0
206351	order	2|1224|28216|206351	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0.0
85008	order	2|201174|1760|85008	Bacteria|Actinobacteria|Actinobacteria|Micromonosporales	0.0
204433	order	2|57723|204432|204433	Bacteria|Acidobacteria|Acidobacteriia|Acidobacteriales	0.0
85010	order	2|201174|1760|85010	Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales	0.0
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.0
171549	order	2|976|200643|171549	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	4.0248
1843489	order	2|1239|909932|1843489	Bacteria|Firmicutes|Negativicutes|Veillonellales	0.0
1643682	order	2|201174|1760|1643682	Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales	0.0
1643684	order	2|201174|1760|1643684	Bacteria|Actinobacteria|Actinobacteria|Nakamurellales	0.0
2085	order	2|544448|31969|2085	Bacteria|Tenericutes|Mollicutes|Mycoplasmatales	0.0
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	0.3096
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0.0
204458	order	2|1224|28211|204458	Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	0.0
1853229	order	2|976|1853228|1853229	Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	0.0
1643822	order	2|201174|84998|1643822	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.0
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	1.2384
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	4.0248
118964	order	2|1297|188787|118964	Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales	0.0
206389	order	2|1224|28216|206389	Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales	0.0
1890505	order	2|1117|1890505	Bacteria|Cyanobacteria|Chroococcidiopsidales	0.0
526525	order	2|1239|526524|526525	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	1.8576
135614	order	2|1224|1236|135614	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	0.0
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0.0
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	0.0
135624	order	2|1224|1236|135624	Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales	0.0
135625	order	2|1224|1236|135625	Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	0.3096
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	4.644
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.3096
91347	order	2|1224|1236|91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.0
213849	order	2|1224|29547|213849	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	0.0
200666	order	2|976|117747|200666	Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	0.0
85007	order	2|201174|1760|85007	Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales	0.0
203491	order	2|32066|203490|203491	Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	0.0
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0.0
85009	order	2|201174|1760|85009	Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	3.4056
