,Group
SAMN06172514,0
SAMN06172513,0
SAMN06172509,0
SAMN06172493,0
SAMN06172492,0
SAMN06172486,0
SAMN06172485,0
SAMN06172477,0
SAMN06172471,0
SAMN06172457,0
SAMN06172432,0
SAMN06172428,0
SAMN06172426,0
SAMN06172421,0
SAMN06172414,0
SAMN06172407,0
SAMN06172401,0
GCF_000012825,
CCMD99440714ST,1
CCMD98198513ST,1
CCMD89107682ST,1
CCMD85661207ST,1
CCMD76409700ST,1
CCMD73128545ST,1
CCMD66848156ST,1
CCMD59583015ST,1
CCMD59540613ST,1
CCMD54057834ST,1
CCMD53508245ST,1
CCMD52145360ST,1
CCMD52117727ST,1
CCMD51228890ST,1
CCMD49942357ST,1
CCMD49025643ST,1
CCMD45812507ST,1
CCMD42956136ST,1
CCMD41521570ST,1
CCMD39157124ST,1
CCMD35801800ST,1
CCMD35633353ST,1
CCMD30627121ST,1
CCMD28738636ST,1
CCMD27867141ST,1
CCMD27463710ST,1
CCMD25475945ST,1
CCMD23541216ST,1
CCMD21703880ST,1
CCMD18829815ST,1
CCMD17410933ST,1
CCMD15562448ST,1
