@SampleID: 7
@Version: 0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_GENOMEID

2	superkingdom	2	Bacteria	100.0
544448	phylum	2|544448	Bacteria|Tenericutes	0.0
32066	phylum	2|32066	Bacteria|Fusobacteria	0.0
1224	phylum	2|1224	Bacteria|Proteobacteria	26.6314
508458	phylum	2|508458	Bacteria|Synergistetes	0.0
203691	phylum	2|203691	Bacteria|Spirochaetes	0.0
976	phylum	2|976	Bacteria|Bacteroidetes	0.6173
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	0.0
201174	phylum	2|201174	Bacteria|Actinobacteria	0.5291
1239	phylum	2|1239	Bacteria|Firmicutes	72.2222
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.0
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	0.5291
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	0.0
203490	class	2|32066|203490	Bacteria|Fusobacteria|Fusobacteriia	0.0
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.0
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.0
84998	class	2|201174|84998	Bacteria|Actinobacteria|Coriobacteriia	0.0
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.0
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	0.0
203692	class	2|203691|203692	Bacteria|Spirochaetes|Spirochaetia	0.0
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	0.6173
1737404	class	2|1239|1737404	Bacteria|Firmicutes|Tissierellia	0.0
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	0.2646
188787	class	2|1297|188787	Bacteria|Deinococcus-Thermus|Deinococci	0.0
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	26.1905
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	71.9577
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	0.0882
414999	class	2|74201|414999	Bacteria|Verrucomicrobia|Opitutae	0.0
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	0.3527
649775	class	2|508458|649775	Bacteria|Synergistetes|Synergistia	0.0
526524	class	2|1239|526524	Bacteria|Firmicutes|Erysipelotrichia	0.0
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.0
84999	order	2|201174|84998|84999	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.0
136	order	2|203691|203692|136	Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	0.0
85004	order	2|201174|1760|85004	Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	0.0
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	0.2646
206351	order	2|1224|28216|206351	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0.3527
85009	order	2|201174|1760|85009	Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	0.0
415001	order	2|74201|414999|415001	Bacteria|Verrucomicrobia|Opitutae|Puniceicoccales	0.0
171549	order	2|976|200643|171549	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	0.0
1843489	order	2|1239|909932|1843489	Bacteria|Firmicutes|Negativicutes|Veillonellales	0.0
2085	order	2|544448|31969|2085	Bacteria|Tenericutes|Mollicutes|Mycoplasmatales	0.0
204458	order	2|1224|28211|204458	Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	0.0
1643822	order	2|201174|84998|1643822	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.0
649776	order	2|508458|649775|649776	Bacteria|Synergistetes|Synergistia|Synergistales	0.0
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	0.2646
118964	order	2|1297|188787|118964	Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales	0.0
526525	order	2|1239|526524|526525	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	0.0
135615	order	2|1224|1236|135615	Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales	0.0
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0.6173
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.0
135625	order	2|1224|1236|135625	Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	26.1905
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	71.8695
48461	order	2|74201|203494|48461	Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	0.0
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.0
91347	order	2|1224|1236|91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.0
213849	order	2|1224|29547|213849	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	0.0
85007	order	2|201174|1760|85007	Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales	0.0
203491	order	2|32066|203490|203491	Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	0.0
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0.0882
909929	order	2|1239|909932|909929	Bacteria|Firmicutes|Negativicutes|Selenomonadales	0.0
1737405	order	2|1239|1737404|1737405	Bacteria|Firmicutes|Tissierellia|Tissierellales	0.0
2037	order	2|201174|1760|2037	Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	0.2646
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	0.0882
213115	order	2|1224|28221|213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0.0
2049	family	2|201174|1760|2037|2049	Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae	0.2646
119045	family	2|1224|28211|356|119045	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae	0.0882
137	family	2|203691|203692|136|137	Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae	0.0
49546	family	2|976|117743|200644|49546	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	0.6173
84107	family	2|201174|84998|84999|84107	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0.0
1300	family	2|1239|91061|186826|1300	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	53.8801
