user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
TARA_004_SRF_0.22-1.6_bin.111	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10;s__MED-G10 sp002457065	GCA_002457065.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10;s__MED-G10 sp002457065	96.45	0.68	GCA_002457065.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10;s__MED-G10 sp002457065	96.45	0.68	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002712255.1, s__MED-G10 sp002712255, 95.0, 77.36, 0.41	83.12	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.112	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2699365;s__GCA-2699365 sp002699365	GCA_002699365.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2699365;s__GCA-2699365 sp002699365	99.64	0.9	GCA_002699365.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2699365;s__GCA-2699365 sp002699365	99.64	0.9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.33	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.183	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__TMED25;g__TMED25;s__TMED25 sp002699615	GCA_002699615.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__TMED25;g__TMED25;s__TMED25 sp002699615	99.34	0.89	GCA_002699615.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__TMED25;g__TMED25;s__TMED25 sp002699615	99.34	0.89	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__TMED25;g__TMED25;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002694595.1, s__TMED25 sp002694595, 95.0, 82.6, 0.76; GCA_002704755.1, s__TMED25 sp002704755, 95.0, 77.21, 0.22; GCA_002168075.1, s__TMED25 sp002168075, 95.0, 76.97, 0.17	92.86	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.23	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp002167525	GCA_002167525.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp002167525	96.18	0.72	GCA_002167525.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp002167525	96.18	0.72	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003130815.1, s__MS024-2A sp003130815, 95.0, 90.72, 0.87; GCA_002714815.1, s__MS024-2A sp002714815, 95.0, 77.56, 0.31; GCA_002169865.1, s__MS024-2A sp002169865, 95.0, 77.06, 0.18; GCA_002705385.1, s__MS024-2A sp002705385, 95.0, 76.73, 0.15; GCF_000173095.1, s__MS024-2A sp000173095, 95.0, 76.5, 0.1; GCA_002292265.1, s__MS024-2A sp002292265, 95.0, 76.47, 0.11; GCA_002167945.1, s__MS024-2A sp002167945, 95.0, 76.42, 0.09; GCA_002384715.1, s__MS024-2A sp002384715, 95.0, 75.92, 0.08	88.04	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.364	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.99	0.98	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.99	0.98	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	97.66	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.62	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	GCA_002457765.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	99.54	0.93	GCA_002457765.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	99.54	0.93	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002689625.1, s__UBA8309 sp002689625, 95.0, 99.2, 0.84; GCA_002683535.1, s__UBA8309 sp002683535, 95.0, 88.55, 0.88; GCA_002686685.1, s__UBA8309 sp002686685, 95.0, 79.05, 0.52; GCA_001627655.1, s__UBA8309 sp001627655, 95.0, 78.25, 0.39; GCA_004213025.1, s__UBA8309 sp004213025, 95.0, 78.21, 0.43; GCA_002457745.1, s__UBA8309 sp002457745, 95.0, 78.15, 0.4; GCA_002695585.1, s__UBA8309 sp002695585, 95.0, 78.12, 0.4; GCA_002731315.1, s__UBA8309 sp002731315, 95.0, 77.9, 0.38	97.44	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.91	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002691605	GCA_002691605.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002691605	98.34	0.83	GCA_002691605.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002691605	98.34	0.83	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002457645.1, s__MED-G20 sp002457645, 95.0, 79.12, 0.54; GCA_002686655.1, s__MED-G20 sp002686655, 95.0, 79.0, 0.52; GCA_002713405.1, s__MED-G20 sp002713405, 95.0, 77.9, 0.35; GCA_002699745.1, s__MED-G20 sp002699745, 95.0, 77.65, 0.35	91.71	11	N/A	N/A
TARA_004_SRF_0.22-1.6_recluster_138.bin.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515	GCA_002323515.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515	99.92	0.97	GCA_002323515.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515	99.92	0.97	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002457365.1, s__UBA1275 sp002457365, 95.0, 93.66, 0.93; GCA_002720745.1, s__UBA1275 sp002720745, 95.0, 82.31, 0.7; GCA_002730655.1, s__UBA1275 sp002730655, 95.0, 82.28, 0.6; GCA_002348545.1, s__UBA1275 sp002348545, 95.0, 81.85, 0.7	94.4	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.107	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10;s__MED-G10 sp002457065	GCA_002457065.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10;s__MED-G10 sp002457065	99.12	0.78	GCA_002457065.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10;s__MED-G10 sp002457065	99.12	0.78	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002712255.1, s__MED-G10 sp002712255, 95.0, 77.97, 0.39	83.51	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.141	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G14;s__MED-G14 sp004321735	GCA_004321735.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G14;s__MED-G14 sp004321735	98.33	0.81	GCA_004321735.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G14;s__MED-G14 sp004321735	98.33	0.81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G14;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002703065.1, s__MED-G14 sp002703065, 95.0, 94.9, 0.68; GCA_002457715.1, s__MED-G14 sp002457715, 95.0, 78.4, 0.33; GCA_002702385.1, s__MED-G14 sp002702385, 95.0, 78.0, 0.34; GCA_002693085.1, s__MED-G14 sp002693085, 95.0, 77.98, 0.37; GCA_003331885.1, s__MED-G14 sp003331885, 95.0, 77.33, 0.32; GCA_002691165.1, s__MED-G14 sp002691165, 95.0, 77.21, 0.19; GCA_003331875.1, s__MED-G14 sp003331875, 95.0, 77.21, 0.21; GCA_002697465.1, s__MED-G14 sp002697465, 95.0, 76.66, 0.2	85.46	11	N/A	N/A
